frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,1,0,False,0,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
1,1,1,33.333333333333336,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,True,,1.0,3.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,84.20987129211426,286.342960357666,86.19826316833496,258.6413230895996,,,27.772907834523668,,70.63140106201172,250.92197227478027,30.978553771972656,77.09426307678223,86.12067794799805,289.4691038131714,83.08547522374238,,92.0625,283.5,8.422318542424875,0.05498677623002747,1.0,True
2,2,2,66.66666666666667,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,True,,1.0,3.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,88.39381980895996,287.06261825561523,88.68149757385254,258.8376350402832,4.245389579496332,2.4909820342040683,28.226449227669224,0.01228111979455757,75.14156723022461,250.92108726501465,30.54900360107422,77.56133460998535,90.41606903076172,289.7017545700073,83.36067566605107,0.0074519540015249245,95.125,284.0,7.394865519375642,0.0480839749240709,1.0,True
3,3,3,100.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,,,,True,,1.0,3.0,ACCEPTED,True,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,,1,0,False,0,0.0,,False,False,False,False,96.78886795043945,297.18019104003906,95.96470546722412,263.94569969177246,13.14694307989017,8.895922757188497,33.2447087365305,0.1358858245794643,80.83161926269531,252.56912994384766,33.267250061035156,86.26170349121094,97.46524429321289,295.6999816894531,92.45426661776641,0.24623878113122796,98.1875,284.5,11.223245660238923,0.07268136556722375,1.0,True
4,4,4,133.33333333333334,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,False,,1,0,False,0,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
5,5,5,166.66666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,99.8526611328125,289.7189178466797,99.37328433990479,262.28146743774414,,,27.441637834728013,,80.65195083618164,253.8889617919922,33.75041198730469,71.1756591796875,97.52715682983398,289.47679138183594,78.77223348982707,,104.3125,285.5,7.864842759493872,0.05051707007976261,1.0,True
6,6,6,200.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,105.00421905517578,290.40434646606445,102.96406745910645,263.0768795013428,5.196956938414594,3.677825955651224,27.40351563655472,0.0010322834688824849,91.08273315429688,253.9812355041504,30.690601348876953,72.2188835144043,106.42803382873535,290.09067726135254,78.46961289074125,0.00819444462146605,107.375,286.0,4.198855247096087,0.026858925330297583,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,105.62736129760742,290.61470794677734,103.63604736328125,263.4101848602295,0.657691574273575,0.7500996293009243,27.277305723834907,0.0034175470658203404,92.50532150268555,254.16199493408203,29.86434555053711,73.04525756835938,107.4374942779541,290.6846237182617,78.91443966974516,0.012045143052733572,110.4375,286.5,5.148894055595499,0.032799984501235016,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,109.74610137939453,288.69322204589844,105.86750793457031,260.951623916626,4.54490131120535,3.3202316477363922,28.011421846744707,0.019878600244273497,89.20815086364746,251.94305992126465,41.37643241882324,73.29995918273926,109.89636707305908,288.5930395126343,84.17180748861632,0.1423604657996168,113.5,287.0,3.940043801907134,0.02499512602275139,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,111.85146141052246,291.92595291137695,109.54663181304932,261.68660736083984,3.857860768520356,3.751819981883841,30.327054898195716,0.06270335483134139,93.29865837097168,252.5863380432129,32.32840538024902,74.9157600402832,109.46286106109619,290.0442180633545,81.5934856274875,0.06981651536993783,116.94444444444444,287.0,8.07721199048573,0.050898362423774136,1.0,True
