source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,VALID_TARGET,,1.0,671.1948223114014,268.51440238952637,671.1948223114014,268.6296691894531,SUPPORTED,682.1428571428571,275.7142857142857,629.2857142857143,218.57142857142858,105.71428571428567,114.28571428571425,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
1,1,33.333333333333336,VALID_TARGET,,1.0,671.6580638885498,268.88395500183105,669.5725326538086,268.8199653625488,SUPPORTED,680.7142857142858,276.0,627.1428571428572,217.85714285714286,107.1428571428571,116.28571428571425,SUPPORTED,translation_median_sparse_flow,0.0003662109375,0.0020599365234375,350.0,0.08110891282558441,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.030777401823786646,-0.04559852197998074,350.0,0.06662729451493399,1.0000539231134424,1.0,-1.6222896575927734,0.19029617309570312,-1.6226558685302734,0.18823623657226562,-1.6226558685302734,0.18823623657226562,-173.38297794477546,1.626113874653591,path_segment_001,SUPPORTED,,-1.6222896575927734,0.19029617309570312,-1.656686899545889,0.1400369582164558,-1.656686899545889,0.1400369582164558,-175.1683696378278,1.6550391751889093,path_segment_001,SUPPORTED,,-1.6222896575927734,0.19029617309570312,-1.6226558685302734,0.18823623657226562,-1.6226558685302734,0.18823623657226562,-173.38297794477546,1.626113874653591,path_segment_001,SUPPORTED,,SUPPORTED,
2,2,66.66666666666667,VALID_TARGET,,1.0,667.9502429962158,268.36284828186035,668.061731338501,268.7559757232666,SUPPORTED,679.2857142857142,276.2857142857143,625.0,217.14285714285714,108.57142857142853,118.28571428571426,SUPPORTED,translation_median_sparse_flow,-3.62799072265625,-1.9326324462890625,350.0,1.6901055574417114,,,SUPPORTED,partial_affine_ransac_sparse_flow,-8.450446037573183,-2.4670942968292784,230.0,0.18974303493228106,1.0040242700049222,0.6571428571428571,-1.5108013153076172,-0.06398963928222656,2.117189407348633,1.868642807006836,0.4945335388183594,2.0568790435791016,-41.43179760241304,2.811050046764128,path_segment_001,SUPPORTED,,-1.5108013153076172,-0.06398963928222656,4.18698191044291,1.4661153837898269,2.530295010897021,1.6061523420062827,-19.298234610805775,4.41608902098586,path_segment_001,SUPPORTED,,-1.5108013153076172,-0.06398963928222656,2.117189407348633,1.868642807006836,0.4945335388183594,2.0568790435791016,-41.43179760241304,2.811050046764128,path_segment_001,SUPPORTED,,SUPPORTED,
3,3,100.0,VALID_TARGET,,1.0,667.1609916687012,269.9709720611572,667.5888938903809,269.2207450866699,SUPPORTED,677.8571428571429,276.57142857142856,622.8571428571429,216.42857142857144,109.99999999999997,120.28571428571426,SUPPORTED,translation_median_sparse_flow,0.0035400390625,0.0001277923583984375,350.0,0.033315014094114304,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.002714646219579603,-0.03572772794604626,350.0,0.051519802762788745,1.0000753038066557,1.0,-0.4728374481201172,0.4647693634033203,-0.4763774871826172,0.4646415710449219,0.018156051635742188,2.5215206146240234,-135.71452708478554,0.6624285244423609,path_segment_001,SUPPORTED,,-0.4728374481201172,0.4647693634033203,-0.503768818984895,0.42535275850843846,2.026526191912126,2.031505100514721,-139.82422006716467,0.6563275643380532,path_segment_001,SUPPORTED,,-0.4728374481201172,0.4647693634033203,-0.4763774871826172,0.4646415710449219,0.018156051635742188,2.5215206146240234,-135.71452708478554,0.6624285244423609,path_segment_001,SUPPORTED,,SUPPORTED,
4,4,133.33333333333334,VALID_TARGET,,1.0,667.700382232666,268.8433666229248,667.1609916687012,269.8871192932129,SUPPORTED,676.4285714285714,276.8571428571429,620.7142857142858,215.71428571428572,111.4285714285714,122.28571428571428,SUPPORTED,translation_median_sparse_flow,6.103515625e-05,1.52587890625e-05,350.0,0.014930198900401592,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.0011494160763291612,-0.036685082116375486,350.0,0.03193759491400948,1.0000510922549786,1.0,-0.4279022216796875,0.6663742065429688,-0.4279632568359375,0.6663589477539062,-0.4098072052001953,3.1878795623779297,-122.7102533502606,0.788352202259859,path_segment_001,SUPPORTED,,-0.4279022216796875,0.6663742065429688,-0.4461010254133271,0.6527055952722094,1.5804251664987987,2.6842106957869305,-124.351215521136,0.7869959781180482,path_segment_001,SUPPORTED,,-0.4279022216796875,0.6663742065429688,-0.4279632568359375,0.6663589477539062,-0.4098072052001953,3.1878795623779297,-122.7102533502606,0.788352202259859,path_segment_001,SUPPORTED,,SUPPORTED,
5,5,166.66666666666666,VALID_TARGET,,1.0,666.3762283325195,270.10302352905273,666.8332719802856,269.97944736480713,SUPPORTED,675.0000000000001,277.1428571428571,618.5714285714287,215.0,112.85714285714283,124.28571428571428,SUPPORTED,translation_median_sparse_flow,-3.70831298828125,-0.685516357421875,350.0,1.7742536067962646,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.04065890527984273,0.5308208971779559,266.0,0.8582415705568958,0.9965016030857681,0.76,-0.32771968841552734,0.09232807159423828,3.3805932998657227,0.7778444290161133,2.9707860946655273,3.965723991394043,-12.957721781577968,3.453162094157396,path_segment_001,SUPPORTED,,-0.32771968841552734,0.09232807159423828,1.8620136861422907,0.963253256341261,3.4424388526410894,3.6474639521281915,-27.35334057290641,2.086886790375397,path_segment_001,SUPPORTED,,-0.32771968841552734,0.09232807159423828,3.3805932998657227,0.7778444290161133,2.9707860946655273,3.965723991394043,-12.957721781577968,3.453162094157396,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,200.0,VALID_TARGET,,1.0,666.2470607757568,269.99070930480957,666.5055522918701,269.98792266845703,SUPPORTED,673.5714285714286,277.42857142857144,616.4285714285714,214.28571428571428,114.28571428571426,126.28571428571428,SUPPORTED,translation_median_sparse_flow,-0.000102996826171875,6.103515625e-05,350.0,0.007649986073374748,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.06975213630906983,-0.017272775266351088,350.0,0.06458609073165585,1.0000502422558648,1.0,-0.32771968841552734,0.008475303649902344,-0.32761669158935547,0.008414268493652344,2.643169403076172,3.9741382598876953,-178.52878035943812,0.326235367603298,path_segment_001,SUPPORTED,,-0.32771968841552734,0.008475303649902344,-0.2788295380261161,-0.019037267267663083,3.1636093146149733,3.6284266848605284,176.09415514054862,0.27820857040881136,path_segment_001,SUPPORTED,,-0.32771968841552734,0.008475303649902344,-0.32761669158935547,0.008414268493652344,2.643169403076172,3.9741382598876953,-178.52878035943812,0.326235367603298,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,233.33333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,664.0725269317627,271.05068016052246,,,,672.1428571428572,277.71428571428567,614.2857142857143,213.57142857142856,115.7142857142857,128.28571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,266.6666666666667,VALID_TARGET,,2.0,663.0866680145264,270.7628707885742,663.0866680145264,270.7628707885742,SUPPORTED,670.7142857142858,278.0,612.1428571428572,212.85714285714286,117.14285714285714,130.2857142857143,SUPPORTED,translation_median_sparse_flow,-6.9342041015625,-2.2734527587890625,347.0,3.2485861778259277,,,SUPPORTED,partial_affine_ransac_sparse_flow,-16.433173320094006,-3.406483955944798,213.0,0.23157342312050558,1.008104691490755,0.6138328530259366,,,,,0.0,0.0,,,path_segment_002,SUPPORTED,,,,,,0.0,0.0,,,path_segment_002,SUPPORTED,,,,,,0.0,0.0,,,path_segment_002,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,,2.0,664.2474708557129,271.41431617736816,663.0943222045898,270.5255603790283,SUPPORTED,669.2857142857143,278.2857142857143,610.0,212.14285714285714,118.57142857142857,132.2857142857143,SUPPORTED,translation_median_sparse_flow,0.0,0.001346588134765625,350.0,0.05971798300743103,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.00655370009000513,-0.03522254589913047,350.0,0.05328233164365084,1.0000071448226031,1.0,0.0076541900634765625,-0.23731040954589844,0.0076541900634765625,-0.23865699768066406,0.0076541900634765625,-0.23865699768066406,88.16304354434753,0.2376945637740413,path_segment_002,SUPPORTED,,0.0076541900634765625,-0.23731040954589844,0.02226875942847073,-0.2674562003714982,0.02226875942847073,-0.2674562003714982,85.24045526942064,0.2671619904631945,path_segment_002,SUPPORTED,,0.0076541900634765625,-0.23731040954589844,0.0076541900634765625,-0.23865699768066406,0.0076541900634765625,-0.23865699768066406,88.16304354434753,0.2376945637740413,path_segment_002,SUPPORTED,,SUPPORTED,
