source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
21,21,350.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,868.1613426208496,347.1509017944336,886.7293233082706,371.16541353383457,778.5338345864661,234.51127819548873,216.39097744360902,273.30827067669173
22,22,366.66666666666663,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,870.9313468933105,350.06727600097656,885.3195488721803,370.65789473684214,778.3082706766917,234.43609022556393,214.02255639097743,272.4436090225564
23,23,383.33333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,863.4719352722168,349.8672866821289,883.9097744360902,370.15037593984965,778.0827067669172,234.3609022556391,211.65413533834584,271.5789473684211
24,24,400.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,862.7040481567383,349.2194709777832,882.5,369.6428571428571,777.8571428571429,234.28571428571428,209.28571428571428,270.7142857142857
25,25,416.6666666666667,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,864.9547729492188,347.7075424194336,881.0902255639098,369.1353383458647,777.6315789473684,234.21052631578948,206.91729323308272,269.8496240601504
26,26,433.33333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,864.118350982666,341.8869400024414,879.6804511278195,368.62781954887214,777.406015037594,234.13533834586465,204.54887218045113,268.98496240601503
27,27,450.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,860.3944282531738,346.49299240112305,878.2706766917292,368.1203007518797,777.1804511278195,234.06015037593986,202.18045112781954,268.1203007518797
28,28,466.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,860.7574005126953,341.95977783203125,876.8609022556391,367.6127819548872,776.9548872180451,233.98496240601503,199.81203007518798,267.2556390977444
29,29,483.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,856.5643272399902,344.3710708618164,875.4511278195489,367.10526315789474,776.7293233082706,233.90977443609023,197.44360902255642,266.390977443609
30,30,500.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,857.155330657959,342.03767013549805,874.0413533834586,366.59774436090225,776.5037593984962,233.8345864661654,195.07518796992483,265.5263157894737
