frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
120,120,0,4000.0,17,1.0,0.9720958471298218,4,6,0.9975483417510986,0.9971147775650024,255.83082580566406,508.9051742553711,280.87992095947266,381.90403938293457,129.44784829000199,2,0,True,163.46533203125,340.20702743530273,210.16693115234375,265.6350440979004,268.5487976074219,473.02454948425293,246.03891050583658,514.7058823529412,47.37117823145747,0.09391778254270283,1.0,338.72129487661016,,True,,,117.28531861757632,,False,False,False,VALID_TARGET,,True,1
121,121,1,4033.333333333333,17,1.0,0.9320406317710876,4,6,0.9929479360580444,0.9958063364028931,263.3666534423828,492.0883255004883,282.0812683105469,368.6810073852539,124.81827980731974,1,0,False,173.1128387451172,339.9947929382324,168.89651489257812,278.8827095031738,257.56109619140625,479.43614768981934,249.52529182879377,498.2352941176471,20.44460951373467,0.03792505292077935,1.0,326.0392589899114,0.10812978159738952,True,18.428106256882113,13.277492634892317,117.28531861757632,0.03947270244264366,False,False,False,VALID_TARGET,,True,1
122,122,2,4066.6666666666665,17,1.0,0.9633738994598389,4,6,0.9983157217502594,0.9981836974620819,266.2818298339844,489.21495056152344,276.4766082763672,369.3636169433594,120.28414557846656,1,0,False,156.2355613708496,333.28129959106445,196.48788833618164,287.5551872253418,254.47950553894043,477.05889320373535,254.63035019455253,495.44117647058823,18.382902170575413,0.0339239284283144,1.0,348.27500048526764,0.1895867424622745,True,4.093230623116944,5.646075620069926,117.28531861757632,0.038659009348282515,False,False,False,VALID_TARGET,,True,1
123,123,3,4100.0,17,1.0,0.8685904741287231,4,6,0.8186173737049103,0.9922946691513062,268.19732666015625,481.4988784790039,286.5948028564453,339.6769256591797,143.01025638751042,1,0,False,165.96676635742188,303.21908950805664,177.34828186035156,301.38659286499023,254.64090728759766,453.91238594055176,259.73540856031127,492.6470588235295,39.06825855562252,0.07172287911414599,1.0,349.6945687847984,0.012103546430729499,True,7.950276502972197,31.36363341455375,117.28531861757632,0.1937677373171081,False,False,False,VALID_TARGET,,True,1
124,124,4,4133.333333333334,17,1.0,0.9366111755371094,4,6,0.9682105481624603,0.9969516098499298,269.09293365478516,463.82564544677734,294.246337890625,314.7179069519043,151.21445507525732,1,0,False,154.3925323486328,266.318484544754,178.500732421875,351.7040984630585,243.6428985595703,442.17053377628326,264.84046692607,489.8529411764706,52.181882680963795,0.09529985779009748,1.0,394.40877823757745,0.38124302325149007,True,17.69591132720246,26.105528211652835,117.28531861757632,0.06995077290532609,False,False,False,VALID_TARGET,,True,1
125,125,5,4166.666666666667,17,1.0,0.9522133469581604,4,6,0.9219418168067932,0.997972309589386,273.0627136230469,456.1633529663086,280.6293067932129,301.86624336242676,154.48252769913861,1,0,False,142.60707092285156,267.1113119125366,201.92227172851562,336.32811069488525,243.56820678710938,435.27536725997925,269.9455252918288,487.0588235294118,58.11444979269484,0.10558277194337128,1.0,392.2871421084248,0.018089528631205005,True,8.629593214784807,18.724016474170043,117.28531861757632,0.027864294204948712,False,False,False,VALID_TARGET,,True,1
126,126,6,4200.0,17,1.0,0.9299188256263733,4,6,0.8959814012050629,0.9969162344932556,272.44244384765625,450.8075866699219,288.46364974975586,285.6457586288452,165.93706180485313,1,0,False,155.39116668701172,253.0,185.28206634521484,359.2632141113281,248.03219985961914,432.63160705566406,275.0505836575876,484.264705882353,58.27495137278923,0.10532347034420045,0.9989357303331982,404.2270415530789,0.10180216573896726,True,5.391564449746942,18.013357670159284,117.28531861757632,0.09766383585539362,False,False,False,VALID_TARGET,,True,1
127,127,7,4233.333333333333,17,1.0,0.9220812320709229,4,6,0.9605062305927277,0.9961553812026978,275.99224853515625,457.7708206176758,288.54864501953125,306.9691524505615,151.3235150750116,1,0,False,172.15338516235352,266.2973442077637,178.92423629760742,325.2691535949707,261.6155033111572,428.931921005249,280.15564202334633,481.47058823529414,55.71398655433509,0.1001705331883336,1.0,371.2329519521007,0.28131474586823296,True,7.815864656616657,21.323563217058574,117.28531861757632,0.1245982609084334,False,False,False,VALID_TARGET,,True,1
128,128,8,4266.666666666667,17,1.0,0.9095056653022766,4,6,0.9580742716789246,0.9977489709854126,281.7379684448242,450.03453063964844,306.10929107666016,310.24013900756836,141.9029009520539,1,0,False,181.56502532958984,263.3011226654053,168.24324798583984,324.78728675842285,265.68664932250977,425.6947660446167,285.26070038910507,478.67647058823536,56.48189525418728,0.10102201311666714,1.0,365.7766697490735,0.046521442473273854,True,9.636569924225176,17.862688571429455,117.28531861757632,0.08032219406484135,False,False,False,VALID_TARGET,,True,1
129,129,9,4300.0,17,1.0,0.9728648662567139,4,6,0.9922079145908356,0.9983840584754944,277.1422996520996,443.5968780517578,286.43146896362305,299.6855239868164,144.2108404222896,1,0,False,177.17660903930664,242.21150708198547,186.56130599975586,356.3027446269989,270.45726203918457,420.3628793954849,290.3657587548638,475.88235294117646,58.98101545640727,0.10494186976935124,1.0,402.18996348127206,0.31046762000049405,True,7.90971190972198,22.329724166424782,117.28531861757632,0.019677991222081588,False,False,False,VALID_TARGET,,True,1
