frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,True,1,3,0,True,False,False,False,294.3829345703125,379.85792541503906,308.24095153808594,220.8490447998047,,,159.61161846428647,,107.45950317382812,162.44015502929688,309.72369384765625,388.2530822753906,262.32135009765625,356.5666961669922,496.6580538227261,,291.00000000000006,360.0,28.88343011885795,0.031198013360184813,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,,False,,,,,True,1,3,0,True,False,False,False,296.52813720703125,379.06858825683594,314.4568328857422,217.71541595458984,2.2858144067061223,6.961092634615876,162.34618671449644,0.015894771570523752,136.0908660888672,163.77613830566406,273.52113342285156,390.5469207763672,272.85143280029297,359.04959869384766,476.8025878252166,0.11541057584958127,289.9795918367347,360.0,17.154506539693195,0.018554873620141556,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,,False,,,,,True,1,2,0,True,False,False,False,301.83753967285156,383.52110290527344,323.8002166748047,220.62189483642578,6.929259790093695,9.785010992343043,164.37308529850574,0.01178141740911828,152.286865234375,165.57057189941406,261.1005859375,375.1580047607422,282.837158203125,353.14957427978516,457.07444088787867,0.11467052945364835,288.9591836734694,360.0,9.187356987062525,0.009951109626057811,1.0,True
3,3,3,100.0,VALID_TARGET,,False,,,,,True,1,2,0,True,False,False,False,309.23817443847656,389.40687561035156,327.97662353515625,221.58839416503906,9.455776820019604,4.28678145178892,168.86139934620806,0.02608847905680294,182.8021697998047,167.61151123046875,228.16017150878906,384.345703125,296.8822555541992,359.78436279296875,446.9660874983366,0.05875515012966433,287.9387755102041,360.0,8.946079292203667,0.009703185877149549,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,,False,,,,,True,1,3,0,True,False,False,False,312.61749267578125,395.88002014160156,337.37501525878906,221.21734619140625,7.302149811626152,9.405713348257365,176.40857290925624,0.04386820470783107,218.06639099121094,164.72804260253906,199.46507263183594,403.0688934326172,317.7989273071289,366.26248931884766,449.72307929771415,0.01602510921771598,296.1224489795918,360.0,22.56298927786091,0.024812464642609923,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,,False,,,,,True,1,4,0,True,False,False,False,324.8148498535156,391.5035400390625,345.35044860839844,221.9182586669922,12.958746089384906,8.006173581211778,170.8241156109576,0.032459849226650475,239.77883911132812,162.30160522460938,206.0816650390625,433.6974182128906,342.8196716308594,379.1503143310547,480.1698691398694,0.17697300828371734,307.6530612244898,360.0,40.04278994340402,0.044839715730681295,1.0,True
6,6,6,200.0,VALID_TARGET,,False,,,,,True,1,4,0,True,False,False,False,323.1039047241211,393.15220642089844,343.9012908935547,221.98292541503906,2.376012221011262,1.4505998313780812,172.4281126485568,0.009323287692848278,242.8670196533203,163.51121520996094,206.2121124267578,428.16590881347656,345.9730758666992,377.5941696166992,475.23623681446696,0.028676906791118433,319.18367346938777,360.0,32.05038042373691,0.036535614353781935,1.0,True
7,7,7,233.33333333333334,VALID_TARGET,,False,,,,,True,1,3,0,True,False,False,False,331.46378326416016,395.1160888671875,354.02693939208984,223.8217544555664,8.587456169730823,10.291260843850669,172.77397088674442,0.00201031284969898,275.7415313720703,166.5397491455078,185.25230407714844,442.72422790527344,368.36768341064453,387.90186309814453,479.9199497210058,0.02722424161314409,330.71428571428567,360.0,46.864616955948364,0.054366134397481544,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,True,1,4,0,True,False,False,False,335.9274368286133,397.1215057373047,358.0194625854492,226.5038299560547,4.893454808865175,4.809757835882385,172.04199746293475,0.004254620584531261,304.89988708496094,167.8501434326172,188.22071838378906,456.9679718017578,399.01024627685547,396.3341293334961,494.2132799526149,0.08308047129415888,336.66666666666663,360.0,72.1587892985683,0.08342416458684392,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,True,1,3,0,True,False,False,False,351.49632263183594,394.0457458496094,365.0126266479492,224.74156188964844,15.869798487710657,7.21179120211593,169.84286025795814,0.012782560289968718,327.02003479003906,165.79019165039062,183.9003448486328,480.6632995605469,418.97020721435547,406.12184143066406,514.6421517713819,0.11874351681581849,342.61904761904765,360.0,89.20046988947696,0.1027738547527796,1.0,True
