source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1258.9983749389648,580.9639511108398,1252.8358154296875,590.8723678588867,SUPPORTED,1230.0,618.2142857142858,1072.5,351.42857142857144,315.0,533.5714285714286,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,SUPPORTED,
1,1,33.333333333333336,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1252.8358154296875,590.8723678588867,1250.180046081543,586.0580863952637,SUPPORTED,1221.857142857143,618.2142857142858,1057.5,349.2857142857143,328.7142857142857,537.8571428571429,SUPPORTED,translation_median_sparse_flow,0.0001220703125,0.000125885009765625,350.0,1.0162920951843262,,,SUPPORTED,partial_affine_ransac_sparse_flow,-1.8091548607338703,-0.8511361500185792,346.0,0.5271050679440501,1.0039408496947,0.9885714285714285,-2.6557693481445312,-4.814281463623047,-2.6558914184570312,-4.8144073486328125,-2.6558914184570312,-4.8144073486328125,118.88354052773727,1.075761486352914,path_segment_001,SUPPORTED,,-2.6557693481445312,-4.814281463623047,-5.755669443849456,-6.351437006402648,-5.755669443849456,-6.351437006402648,132.18285660355352,1.6769924061895767,path_segment_001,SUPPORTED,,-2.6557693481445312,-4.814281463623047,-2.6558914184570312,-4.8144073486328125,-2.6558914184570312,-4.8144073486328125,118.88354052773727,1.075761486352914,path_segment_001,SUPPORTED,,SUPPORTED,
2,2,66.66666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1246.0458755493164,600.8505859375,1247.5242767333984,581.2438049316406,SUPPORTED,1213.7142857142858,618.2142857142858,1042.5,347.14285714285717,342.42857142857144,542.1428571428571,SUPPORTED,translation_median_sparse_flow,0.0010833740234375,3.0517578125e-05,350.0,0.3611322045326233,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.8369142416380071,-0.4297944909474653,348.0,0.27922840772832447,1.0019833836914245,0.9942857142857143,-2.6557693481445312,-4.814281463623047,-2.6568527221679688,-4.814311981201172,-5.312744140625,-9.628719329833984,118.89279103348409,1.0758360109274137,path_segment_001,SUPPORTED,,-2.6557693481445312,-4.814281463623047,-4.365074638890974,-5.404702801689723,-10.12074408274043,-11.756139808092371,128.92586110246808,1.3592374016157611,path_segment_001,SUPPORTED,,-2.6557693481445312,-4.814281463623047,-2.6568527221679688,-4.814311981201172,-5.312744140625,-9.628719329833984,118.89279103348409,1.0758360109274137,path_segment_001,SUPPORTED,,SUPPORTED,
3,3,100.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1247.5242767333984,581.1987991333008,1247.5059814453125,581.1987991333008,SUPPORTED,1205.5714285714287,618.2142857142858,1027.5,345.0,356.1428571428572,546.4285714285714,SUPPORTED,translation_median_sparse_flow,0.1430816650390625,-1.52587890625e-05,350.0,0.9189815521240234,,,SUPPORTED,partial_affine_ransac_sparse_flow,-1.4792503753612465,-0.88179412604378,337.0,0.5204997479137123,1.0040722746421098,0.9628571428571429,-0.0182952880859375,-0.04500579833984375,-0.161376953125,-0.04499053955078125,-5.47412109375,-9.673709869384766,164.42197619925756,0.03277751326761939,path_segment_001,SUPPORTED,,-0.0182952880859375,-0.04500579833984375,-3.8520451391259485,-1.0304082145879647,-13.972789221866378,-12.786548022680336,165.02420787587886,0.7801516382312509,path_segment_001,SUPPORTED,,-0.0182952880859375,-0.04500579833984375,-0.161376953125,-0.04499053955078125,-5.47412109375,-9.673709869384766,164.42197619925756,0.03277751326761939,path_segment_001,SUPPORTED,,SUPPORTED,
4,4,133.33333333333334,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1244.823486328125,571.984001159668,1244.823486328125,571.984001159668,SUPPORTED,1197.4285714285716,618.2142857142858,1012.5,342.8571428571429,369.85714285714295,550.7142857142857,SUPPORTED,translation_median_sparse_flow,0.764312744140625,-0.0008392333984375,349.0,1.0181844234466553,,,SUPPORTED,partial_affine_ransac_sparse_flow,-1.2815612390475863,-0.9518966441549873,326.0,0.630797573234996,1.004288024522117,0.9340974212034384,-2.6824951171875,-9.214797973632812,-3.446807861328125,-9.213958740234375,-8.920928955078125,-18.88766860961914,110.51009159359891,1.92472108960994,path_segment_001,SUPPORTED,,-2.6824951171875,-9.214797973632812,-7.177153296137021,-9.837941980443702,-21.1499425180034,-22.624490003124038,126.11217495925406,2.3825729348709417,path_segment_001,SUPPORTED,,-2.6824951171875,-9.214797973632812,-3.446807861328125,-9.213958740234375,-8.920928955078125,-18.88766860961914,110.51009159359891,1.92472108960994,path_segment_001,SUPPORTED,,SUPPORTED,
5,5,166.66666666666666,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1239.7870559692385,558.1926879882812,1238.8545989990234,566.5987854003906,SUPPORTED,1189.2857142857142,618.2142857142858,997.5,340.7142857142857,383.57142857142867,555.0,SUPPORTED,translation_median_sparse_flow,1.922515869140625,-0.00394439697265625,350.0,1.920040488243103,,,SUPPORTED,partial_affine_ransac_sparse_flow,-1.049249942215266,-0.8609177200352014,326.0,0.7276366654435726,1.0046660489411832,0.9314285714285714,-5.9688873291015625,-5.385215759277344,-7.8914031982421875,-5.3812713623046875,-16.812332153320312,-24.268939971923828,145.70931081330994,1.8687660426071993,path_segment_001,SUPPORTED,,-5.9688873291015625,-5.385215759277344,-11.316383640526055,-5.911054693152323,-32.466326158529455,-28.53554469627636,152.41991588622065,2.4979045344096473,path_segment_001,SUPPORTED,,-5.9688873291015625,-5.385215759277344,-7.8914031982421875,-5.3812713623046875,-16.812332153320312,-24.268939971923828,145.70931081330994,1.8687660426071993,path_segment_001,SUPPORTED,,SUPPORTED,
6,6,200.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1227.5956115722656,563.2524566650391,1227.5956115722656,566.5987854003906,SUPPORTED,1180.0,624.2857142857143,998.9285714285714,342.14285714285717,362.1428571428572,564.2857142857143,SUPPORTED,translation_median_sparse_flow,1.0606765747070312,-0.0002593994140625,350.0,1.0557444095611572,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.1527106311639449,-0.3987869430615746,345.0,0.5354329395340474,1.002133634556487,0.9857142857142858,-11.258987426757812,0.0,-12.319664001464844,0.0002593994140625,-29.131996154785156,-24.268680572509766,-179.99879359602423,2.4103461926922463,path_segment_001,SUPPORTED,,-11.258987426757812,0.0,-14.013805885930196,-0.231960470791023,-46.48013204445965,-28.767505167067384,179.05171068141058,2.742181163875928,path_segment_001,SUPPORTED,,-11.258987426757812,0.0,-12.319664001464844,0.0002593994140625,-29.131996154785156,-24.268680572509766,-179.99879359602423,2.4103461926922463,path_segment_001,SUPPORTED,,SUPPORTED,
7,7,233.33333333333337,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1215.519073486328,566.5987854003906,1215.5190734863281,566.5987854003906,SUPPORTED,1170.7142857142858,630.3571428571429,1000.3571428571429,343.57142857142856,340.7142857142858,573.5714285714286,SUPPORTED,translation_median_sparse_flow,2.0919342041015625,-0.0020599365234375,350.0,2.091629981994629,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.5152124418290221,-1.242920708482485,319.0,0.956050560752502,1.0052890513803427,0.9114285714285715,-12.0765380859375,0.0,-14.168472290039062,0.0020599365234375,-43.30046844482422,-24.266620635986328,-179.9916698381018,2.772066152929944,path_segment_001,SUPPORTED,,-12.0765380859375,0.0,-18.685558985464922,-0.383820533274843,-65.16569102992457,-29.151325700342227,178.82325144832112,3.6566067554407935,path_segment_001,SUPPORTED,,-12.0765380859375,0.0,-14.168472290039062,0.0020599365234375,-43.30046844482422,-24.266620635986328,-179.9916698381018,2.772066152929944,path_segment_001,SUPPORTED,,SUPPORTED,
8,8,266.6666666666667,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1207.507080078125,578.2250137329102,1207.507080078125,576.1913986206055,SUPPORTED,1161.4285714285716,636.4285714285714,1001.7857142857143,345.0,319.28571428571433,582.8571428571429,SUPPORTED,translation_median_sparse_flow,2.6433563232421875,-0.00038909912109375,350.0,2.6418046951293945,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.8788250595915145,-0.8409214510388894,276.0,1.1566468587277283,1.0061810282016663,0.7885714285714286,-8.011993408203125,9.592613220214844,-10.655349731445312,9.593002319335938,-53.95581817626953,-14.67361831665039,-138.00331924237827,2.8051246120430537,path_segment_001,SUPPORTED,,-8.011993408203125,9.592613220214844,-15.789620050495614,9.390519784620437,-80.95531108042019,-19.76080591572179,-149.258890660799,3.5942937263116885,path_segment_001,SUPPORTED,,-8.011993408203125,9.592613220214844,-10.655349731445312,9.593002319335938,-53.95581817626953,-14.67361831665039,-138.00331924237827,2.8051246120430537,path_segment_001,SUPPORTED,,SUPPORTED,
9,9,300.0,VALID_TARGET,HUMAN_ACCEPTED_TARGET: operator reviewed the raw skeleton and confirmed that it belongs to the documented athlete.,1.0,1202.6092529296875,579.2057952880859,1202.6092529296875,578.9740524291992,SUPPORTED,1158.9285714285716,638.2142857142858,1004.6428571428572,350.7142857142857,308.5714285714286,575.0,SUPPORTED,translation_median_sparse_flow,1.9361228942871094,0.0013885498046875,350.0,1.304009199142456,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.16294281989184514,-0.2905070568823058,348.0,0.9132163900674133,1.0025791237381008,0.9942857142857143,-4.8978271484375,2.78265380859375,-6.833950042724609,2.7812652587890625,-60.78976821899414,-11.892353057861328,-157.85477306220176,1.4435534735436046,path_segment_001,SUPPORTED,,-4.8978271484375,2.78265380859375,-8.629905478487672,2.5412228074183076,-89.58521655890786,-17.219583108303482,-163.59203599344775,1.7601253574391376,path_segment_001,SUPPORTED,,-4.8978271484375,2.78265380859375,-6.833950042724609,2.7812652587890625,-60.78976821899414,-11.892353057861328,-157.85477306220176,1.4435534735436046,path_segment_001,SUPPORTED,,SUPPORTED,
