source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
34,34,1133.3333333333333,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,363.0263157894737,165.5263157894737,338.2894736842105,128.05263157894737,49.473684210526315,74.94736842105263
35,35,1166.6666666666667,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,363.8947368421053,165.39473684210526,339.3421052631579,127.78947368421052,49.10526315789474,75.21052631578948
36,36,1200.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,364.7631578947368,165.26315789473685,340.39473684210526,127.52631578947368,48.73684210526316,75.47368421052632
37,37,1233.3333333333337,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,363.8751611709595,171.2292366027832,365.6315789473684,165.13157894736844,341.4473684210526,127.26315789473685,48.36842105263158,75.73684210526315
38,38,1266.6666666666663,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
39,39,1300.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
40,40,1333.3333333333333,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
41,41,1366.6666666666667,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
42,42,1400.0,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
43,43,1433.3333333333333,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
44,44,1466.6666666666663,TARGET_NOT_FOUND,No observed landmarks returned by pose backend.,,,,366.5,165.0,342.5,127.0,48.0,76.0
