source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,partial_affine_ransac_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,-0.6238612366770151,-2.88929643840307,92,SUPPORTED,0.20267693056845487,partial_affine_ransac_sparse_flow,1.000381602275232,-0.001635352338408821,-0.6238612366770151,0.001635352338408821,1.000381602275232,-2.88929643840307,1.0003829389528949,0.4623115577889447
2,17.795064638560376,-0.5237145253521003,67,SUPPORTED,0.7175488499318137,partial_affine_ransac_sparse_flow,0.9898247014266486,-0.0006798729505029899,17.795064638560376,0.0006798729505029899,0.9898247014266486,-0.5237145253521003,0.9898249349160603,0.40853658536585363
3,-2.3740366436986506,-2.6919950674362405,80,SUPPORTED,0.20823138171859845,partial_affine_ransac_sparse_flow,1.0013575842800388,-0.001439753796389049,-2.3740366436986506,0.001439753796389049,1.0013575842800388,-2.6919950674362405,1.0013586193198465,0.5
4,11.666795368753842,-0.07458566506936223,68,SUPPORTED,0.4690785860306374,partial_affine_ransac_sparse_flow,0.9933245178734115,-0.00028430649184932354,11.666795368753842,0.00028430649184932354,0.9933245178734115,-0.07458566506936223,0.9933245585601046,0.4689655172413793
5,0.000575326489047284,-0.012467481144087132,145,SUPPORTED,0.00782529125851113,partial_affine_ransac_sparse_flow,0.9999976916312973,-6.710884056518477e-06,0.000575326489047284,6.710884056518477e-06,0.9999976916312973,-0.012467481144087132,0.9999976916538154,1.0
6,5.543994204935243,0.39791994640015194,69,SUPPORTED,0.2575642790128813,partial_affine_ransac_sparse_flow,0.9968261774069926,9.701229194657272e-05,5.543994204935243,-9.701229194657272e-05,0.9968261774069926,0.39791994640015194,0.9968261821276676,0.45394736842105265
7,14.329970593968094,-0.11354707107419981,58,SUPPORTED,0.5785642144588932,partial_affine_ransac_sparse_flow,0.9917752269946071,-0.0003973001767102832,14.329970593968094,0.0003973001767102832,0.9917752269946071,-0.11354707107419981,0.991775306572832,0.3972602739726027
8,3.6754641021081564,-0.07229873998942023,67,SUPPORTED,0.19678519322597754,partial_affine_ransac_sparse_flow,0.9979166672910683,-0.00019162747999313564,3.6754641021081564,0.00019162747999313564,0.9979166672910683,-0.07229873998942023,0.9979166856899446,0.4267515923566879
9,1.4227313217448967,-1.6266063795438352,61,SUPPORTED,0.09169947152664883,partial_affine_ransac_sparse_flow,0.9992201462819849,-0.0009678739811786518,1.4227313217448967,0.0009678739811786518,0.9992201462819849,-1.6266063795438352,0.9992206150374574,0.3860759493670886
10,-0.48728117213526034,0.9977445589059776,62,SUPPORTED,0.044447040745243686,partial_affine_ransac_sparse_flow,1.000258307231691,0.000573159024642868,-0.48728117213526034,-0.000573159024642868,1.000258307231691,0.9977445589059776,1.0002584714448939,0.37349397590361444
11,30.350833097931726,-45.29607353271737,68,SUPPORTED,1.4292007489426353,partial_affine_ransac_sparse_flow,0.9828914568033714,-0.027493526777425253,30.350833097931726,0.027493526777425253,0.9828914568033714,-45.29607353271737,0.9832759072974964,0.41975308641975306
12,-5.290162868034068,-0.24099045907995,81,SUPPORTED,0.25065595100832333,partial_affine_ransac_sparse_flow,1.002971554146293,-2.2333824806291267e-05,-5.290162868034068,2.2333824806291267e-05,1.002971554146293,-0.24099045907995,1.0029715543949538,0.45
13,1.0127633391474888,-0.2208114112575713,81,SUPPORTED,0.18415555499915515,partial_affine_ransac_sparse_flow,0.9993478794164184,-0.00018448405046106797,1.0127633391474888,0.00018448405046106797,0.9993478794164184,-0.2208114112575713,0.9993478964447052,0.4308510638297872
14,-2.2664329946073125,2.1846018009837875,66,SUPPORTED,0.15858641973099002,partial_affine_ransac_sparse_flow,1.001271998697575,0.0012545965547598138,-2.2664329946073125,-0.0012545965547598138,1.001271998697575,2.1846018009837875,1.001272784703725,0.35294117647058826
15,3.5706637675832513,-51.32657235933431,80,SUPPORTED,1.5524435144990254,partial_affine_ransac_sparse_flow,0.9988838991313866,-0.029130112806525364,3.5706637675832513,0.029130112806525364,0.9988838991313866,-51.32657235933431,0.9993085646666114,0.41025641025641024
16,-16.323683375390797,-0.2916886010985397,63,SUPPORTED,0.6914614948488922,partial_affine_ransac_sparse_flow,1.0093637768734653,0.0001582079956653357,-16.323683375390797,-0.0001582079956653357,1.0093637768734653,-0.2916886010985397,1.0093637892722507,0.3333333333333333
17,0.055527467187438444,0.057556482632281296,192,SUPPORTED,0.02493797427655084,partial_affine_ransac_sparse_flow,0.9999636674642122,3.146179672901401e-05,0.055527467187438444,-3.146179672901401e-05,0.9999636674642122,0.057556482632281296,0.9999636679591525,1.0
18,-8.383424522619727,-8.980635478461268,67,SUPPORTED,0.5688691422467801,partial_affine_ransac_sparse_flow,1.0049696060266093,-0.005015749278696396,-8.383424522619727,0.005015749278696396,1.0049696060266093,-8.980635478461268,1.0049821226161713,0.3526315789473684
19,-0.16800464175505195,8.950384985393983,72,SUPPORTED,0.45103609551224705,partial_affine_ransac_sparse_flow,0.999831478127258,0.005200446012122009,-0.16800464175505195,-0.005200446012122009,0.999831478127258,8.950384985393983,0.9998450026343396,0.3564356435643564
20,-19.982397188051117,-42.82937469666991,74,SUPPORTED,1.3473913925278829,partial_affine_ransac_sparse_flow,1.0120996997797334,-0.02400152656363941,-19.982397188051117,0.02400152656363941,1.0120996997797334,-42.82937469666991,1.0123842529255438,0.3756345177664975
