frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
41,41,16,683.3333333333334,17,1.0,0.8557296991348267,4,6,0.9538531303405762,0.9695670306682587,False,,,,,509.0630912780762,515.7636337280273,507.0380668640137,474.2032051086426,41.60973384803759,1,0,False,472.4396438598633,448.7040328979492,48.59394073486328,118.97913360595703,496.7366142272949,508.19359970092773,489.3385214007783,537.4644968170537,30.191343054799482,0.08173547245962778,1.0,128.52005800561864,0.4144627045002972,True,24.28144378953339,23.54989316507777,43.69937530890205,0.24407404880894487,False,False,False,VALID_TARGET,,True,1
42,42,17,700.0,17,1.0,0.9151145219802856,4,6,0.9764514863491058,0.9787454605102539,False,,,,,509.94703674316406,515.4628944396973,507.0586624145508,472.0565490722656,43.50233929823713,1,0,False,476.17572021484375,448.0359649658203,51.645263671875,123.0865478515625,501.99835205078125,509.57923889160156,495.1284046692607,538.2120135024738,29.445406414954995,0.07931654600816726,1.0,133.48232662698263,0.11355468096023606,True,0.9337042919440444,2.146754833513957,43.69937530890205,0.04330966831496089,False,False,False,VALID_TARGET,,True,1
43,43,18,716.6666666666666,17,1.0,0.9258029460906982,4,6,0.9754607379436493,0.9859057664871216,False,,,,,530.2980270385742,513.5598297119141,530.0325164794922,470.0427551269531,43.51788455669735,1,0,False,496.4781265258789,449.3653450012207,58.744834899902344,118.11858749389648,525.8505439758301,508.42463874816895,500.9182879377431,538.959530187894,39.42076846516967,0.10565749311751282,1.0,131.92026508072996,0.0357456264582907,True,20.439776450881524,23.06194563889617,43.69937530890205,0.0003557318234031538,False,False,False,VALID_TARGET,,True,1
44,44,19,733.3333333333333,17,1.0,0.7605733275413513,4,6,0.9305642545223236,0.9749172031879425,False,,,,,525.6936454772949,511.57509994506836,526.3530426025391,469.9063911437988,41.673925873785606,2,1,True,494.01416778564453,452.93162536621094,43.70275115966797,110.42198181152344,515.8655433654785,508.14261627197266,506.70817120622564,539.7070468733141,32.86595113563517,0.08765186633216408,1.0,118.75581891473054,0.3012502140578124,True,5.013928779834449,3.68199988417737,43.69937530890205,0.042196454065468195,False,False,False,VALID_TARGET,,True,1
45,45,20,750.0,17,1.0,0.9123992919921875,4,6,0.9745648503303528,0.9905993640422821,False,,,,,529.218994140625,511.9674644470215,528.4800567626953,470.0012626647949,41.97270685189433,1,0,False,496.65663146972656,449.1969985961914,59.72235107421875,118.82530975341797,526.5178070068359,508.6096534729004,512.4980544747082,540.4545635587342,34.79442138385036,0.09233683683941755,1.0,132.9895238574376,0.3257187280617144,True,3.5471161667523794,2.1291288929985686,43.69937530890205,0.00683719105814903,False,False,False,VALID_TARGET,,True,1
46,46,21,766.6666666666667,17,1.0,0.8970648050308228,4,6,0.9755520522594452,0.9738195240497589,False,,,,,534.3740615844727,515.1149673461914,529.2958984375,469.76398849487305,45.63440613966611,1,0,False,501.63922119140625,449.0662612915039,54.11244201660156,119.60851287841797,528.695442199707,508.8705177307129,520.715953307393,540.5904756833561,32.708224890690964,0.08595798825502646,1.0,131.27967372745388,0.03912756459096122,True,6.039991295598122,0.8496450259139002,43.69937530890205,0.08379294353495834,False,False,False,VALID_TARGET,,True,1
47,47,22,783.3333333333334,17,1.0,0.8429496884346008,4,6,0.9489999413490295,0.937203973531723,False,,,,,552.5218238830566,518.5716171264648,551.4724960327148,466.9548759460449,51.62740608459775,2,0,True,524.3695831298828,448.77577209472656,52.08396911621094,118.44195556640625,550.4115676879883,507.9967498779297,528.9338521400778,540.7263878079779,39.14743240863959,0.10189135951903056,1.0,129.38793095684375,0.04328992708105755,True,18.47402782690799,22.353804915764844,43.69937530890205,0.13714154727769756,False,False,False,VALID_TARGET,,True,1
48,48,23,800.0,17,1.0,0.7942555546760559,4,6,0.970627635717392,0.9351828992366791,False,,,,,553.3158226013184,523.1377563476562,552.7738151550293,467.5188179016113,55.62157931897266,1,0,False,524.0843887329102,449.9271545410156,56.089027404785156,115.11236572265625,552.1289024353027,507.48333740234375,537.1517509727626,540.8622999325997,36.585109068145506,0.09431556374227464,1.0,128.050129783149,0.030613736792301876,True,4.634658709323019,1.4182601973366245,43.69937530890205,0.09140115175882726,False,False,False,VALID_TARGET,,True,1
49,49,24,816.6666666666666,17,1.0,0.8372877240180969,4,6,0.9630362093448639,0.955973356962204,False,,,,,551.8682975769043,517.7547225952148,550.8688430786133,466.31071853637695,51.45371184763917,1,0,False,523.8225555419922,448.2788391113281,58.555145263671875,116.29934692382812,553.1001281738281,506.4285125732422,545.3696498054475,540.9982120572216,35.42350093111421,0.09045962817307539,1.0,130.20846029255796,0.04939042020972047,True,5.574260585604905,2.2557532418694306,43.69937530890205,0.09537590507579742,False,False,False,VALID_TARGET,,True,1
50,50,25,833.3333333333334,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,50.0,55.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
51,51,26,850.0,0,0.0,,0,0,,,True,TARGET_NOT_VISIBLE,,50.0,55.0,,,,,,1,0,False,,,,,,,,,,,,,,True,,,43.69937530890205,,False,False,False,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,False,
