source_frame,candidate_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,human_roi_iou,fraction_candidate_inside_roi,candidate_center_inside_roi,pelvis_midpoint_x,pelvis_midpoint_y,pelvis_midpoint_available,distance_candidate_center_to_roi_center,distance_pelvis_to_roi_center,mean_keypoint_confidence,median_keypoint_confidence,supported_keypoint_count,shoulder_midpoint_available,hip_midpoint_available,previous_supported_target_frame,continuity_distance_from_previous_supported_target,body_scale_ratio_vs_previous_supported_target,candidate_rank,accepted_or_rejected,rejection_reason
90,0,853.7723388671875,349.9021911621094,1047.3941650390625,716.7235107421875,950.583251953125,533.3128509521484,0.0,0.0,False,951.8720703125,581.1028137207031,True,426.7796288107215,449.2982398480945,0.7265082001686096,0.8770131468772888,15,True,True,89,468.9051151668926,0.9397260467126572,3,REJECTED_NOT_SELECTED,Not selected by current target association.
90,1,367.1614990234375,150.51104736328125,637.3585205078125,587.4622802734375,502.260009765625,368.9866638183594,0.42728591453287273,0.771442202911181,True,531.704833984375,372.2484130859375,True,58.22152997621789,30.300166875517448,0.7990075945854187,0.9567003846168518,15,True,True,89,3.8486928914579965,0.9709778926509656,1,ACCEPTED,
90,2,539.5675048828125,306.5253601074219,769.8865966796875,719.632568359375,654.72705078125,513.0789642333984,0.2832613828085136,0.6526465891348868,True,665.8700256347656,512.343017578125,True,178.87756934932534,184.4183185129494,0.8813841342926025,0.9164655208587646,17,True,True,89,192.4042639475275,0.8864586296993822,2,REJECTED_NOT_SELECTED,Not selected by current target association.
91,0,854.9476318359375,349.8517150878906,1047.3037109375,716.7366943359375,951.1256713867188,533.2942047119141,0.0,0.0,False,951.9306335449219,580.8421630859375,True,428.055691367157,449.9791754701995,0.7270874977111816,0.8766451478004456,15,True,True,90,467.75575945023456,0.9345744907109319,3,REJECTED_NOT_SELECTED,Not selected by current target association.
91,1,367.03997802734375,150.5836181640625,637.3693237304688,587.4781494140625,502.20465087890625,369.0308837890625,0.42947918493785703,0.7775188283032121,True,531.8537292480469,372.2740478515625,True,57.46848601562044,29.42330014017012,0.7996010780334473,0.9566051363945007,15,True,True,90,5.145158472378605,0.9660695854039295,1,ACCEPTED,
91,2,539.87841796875,306.47979736328125,769.9072265625,719.6193237304688,654.892822265625,513.049560546875,0.2812038417762938,0.6526114065151406,True,665.8410339355469,512.2994995117188,True,179.4390672779556,184.89885874287,0.8825228810310364,0.919161319732666,17,True,True,90,190.95800049271324,0.8818435286835863,2,REJECTED_NOT_SELECTED,Not selected by current target association.
92,0,505.2966613769531,311.3206481933594,759.34716796875,718.0206298828125,632.3219146728516,514.6706390380859,0.34742128844074466,0.7292601526147745,True,642.8421325683594,517.9092712402344,True,170.36212248145014,178.03202914074905,0.8708023428916931,0.9013346433639526,17,True,True,91,177.70596704738475,0.8900921084782442,2,REJECTED_NOT_SELECTED,Not selected by current target association.
92,1,346.85052490234375,146.31768798828125,634.2426147460938,565.2289428710938,490.54656982421875,355.7733154296875,0.3942875839687077,0.7265106520039415,True,500.32725524902344,368.88917541503906,True,67.99108120955893,58.49660689059653,0.7706131339073181,0.9530224204063416,15,True,True,91,34.072124071757074,0.9253006003669533,1,ACCEPTED,
92,2,785.1547241210938,353.091064453125,970.0508422851562,718.8765869140625,877.602783203125,535.9838256835938,0.0,0.0,False,888.1002197265625,623.9071960449219,True,363.9837663477885,421.615600290596,0.7029685378074646,0.8664372563362122,15,True,True,91,431.7631185608748,0.9991428512293327,3,REJECTED_NOT_SELECTED,Not selected by current target association.
93,0,505.32855224609375,311.36651611328125,759.3408813476562,717.8471069335938,632.334716796875,514.6068115234375,0.3455096591771793,0.7300068041493112,True,643.0406799316406,517.9954223632812,True,170.73304196840965,178.65735318081653,0.8745258450508118,0.9088677763938904,17,True,True,92,211.2163084841098,0.9652942657408038,2,REJECTED_NOT_SELECTED,Not selected by current target association.
