frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,backend_pose_count,selected_pose_index,multiple_pose_candidates,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_scale_px,pose_scale_relative_change,pose_centroid_consistent_with_roi,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,target_overlap_ambiguous_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
15,15,0,500.0,17,1.0,0.9326675534248352,4,6,0.9962706565856934,0.9901702702045441,892.87109375,321.39500427246094,886.1750106811523,137.08163452148438,184.43496359808003,3,0,True,753.2887191772461,80.73921203613281,223.83158111572266,514.9111175537109,865.2045097351074,338.1947708129883,881.5564202334631,359.00107834074703,26.462944089535927,0.033015371947484905,1.0,561.4570648635352,,True,,,170.2993018396752,,False,False,False,VALID_TARGET,,True,1
16,16,1,533.3333333333334,17,1.0,0.9409956932067871,4,6,0.9959814250469208,0.9897252023220062,891.3628311157227,313.36048889160156,880.7808647155762,146.21533966064453,167.47978661418435,3,0,True,751.4183502197266,83.84461975097656,215.50721740722656,510.7690887451172,859.1719589233398,339.22916412353516,877.0739299610896,358.77803693235217,26.507338514678057,0.03314937582193133,1.0,554.3720977575648,0.04160303083708674,True,8.174857404213428,10.607609545371773,170.2993018396752,0.09956104811197516,False,False,False,VALID_TARGET,,True,1
17,17,2,566.6666666666666,17,1.0,0.9533215165138245,4,6,0.9977886974811554,0.9951103329658508,893.0544738769531,305.13661193847656,874.7961730957031,141.96829986572266,164.18667306480816,2,0,True,755.2579727172852,75.70018005371094,198.69145965576172,494.9259796142578,854.603702545166,323.16316986083984,872.591439688716,358.55499552395725,39.700629860418395,0.04976617413576928,1.0,533.3198115926971,0.1236193333586709,True,8.396059038129971,7.338520341637592,170.2993018396752,0.01933721109718008,False,False,False,VALID_TARGET,,True,1
18,18,3,600.0,17,1.0,0.8696978688240051,4,6,0.994382917881012,0.9699504375457764,884.6892852783203,319.0530700683594,871.777946472168,143.26443481445312,176.26215406092751,4,0,True,741.4012336730957,78.33911895751953,209.22712326049805,509.86339569091797,846.0147953033447,333.2708168029785,868.1089494163425,358.3319541155624,33.409762785285984,0.041979207291514255,1.0,551.1231000178973,0.10454117094361755,True,16.237123734562037,3.2847614458795884,170.2993018396752,0.07090740164917157,False,False,False,VALID_TARGET,,True,1
19,19,4,633.3333333333333,17,1.0,0.8711498975753784,4,6,0.996642529964447,0.9899060428142548,878.5146331787109,318.9855041503906,868.9168090820312,142.12185668945312,177.12387761275323,3,0,True,751.4674682617188,76.16512298583984,215.24652099609375,518.2344131469727,859.0907287597656,335.2823295593262,863.6264591439689,358.10891270716746,23.272854322654464,0.029311008242621988,1.0,561.1577066838778,0.05892335762731065,True,6.175021757409557,3.0808427316185534,170.2993018396752,0.005060053344416943,False,False,False,VALID_TARGET,,True,1
20,20,5,666.6666666666666,17,1.0,0.9213207364082336,4,6,0.996805340051651,0.9936132431030273,879.9112548828125,313.7433624267578,864.7660827636719,134.2209701538086,180.16011091781957,1,0,False,750.6152648925781,66.39802932739258,241.36892700195312,508.3331108093262,871.2997283935547,320.56458473205566,859.1439688715953,357.8858712987726,39.25099897519439,0.04955052868469818,1.0,562.726852449002,0.00921404696421725,True,5.424997883411527,8.924827002191707,170.2993018396752,0.017828806532188442,False,False,False,VALID_TARGET,,True,1
21,21,6,700.0,17,1.0,0.8826317191123962,4,6,0.9959464073181152,0.9911780655384064,870.4560241699219,309.11729431152344,868.3164291381836,139.15292358398438,169.97783733095375,1,0,False,760.6607894897461,77.86815643310547,196.04898834228516,487.29248809814453,858.6852836608887,321.51440048217773,854.6614785992218,357.66282989037774,36.37169168259726,0.04602286821132861,1.0,525.2515347782563,0.22005561541306862,True,10.526247861454635,6.076933767652167,170.2993018396752,0.05979045995415596,False,False,False,VALID_TARGET,,True,1
22,22,7,733.3333333333333,17,1.0,0.897030234336853,4,6,0.9964064955711365,0.9903096854686737,869.736213684082,310.74781799316406,868.0090026855469,132.51756286621094,178.2386240421875,2,0,True,749.8292922973633,71.04949951171875,214.87407684326172,506.4669189453125,857.2663307189941,324.282958984375,850.1789883268483,357.4397884819828,33.9058367322935,0.043002460136497195,1.0,550.163256574993,0.1462819960365391,True,1.782339645498548,6.6424786698002745,170.2993018396752,0.048507460817488836,False,False,False,VALID_TARGET,,True,1
23,23,8,766.6666666666667,17,1.0,0.9256495237350464,4,6,0.9972668290138245,0.9924990832805634,870.571662902832,313.04278564453125,865.8330841064453,131.97850036621094,181.12628062310154,2,0,True,742.1921997070312,72.1260757446289,216.12774658203125,511.77205657958984,850.2560729980469,328.0121040344238,845.6964980544748,357.21674707358795,29.558431939313834,0.037575507806892186,1.0,555.5374341467275,0.03155724958164447,True,2.442304632500174,2.2416980264490607,170.2993018396752,0.016956361827205644,False,False,False,VALID_TARGET,,True,1
24,24,9,800.0,17,1.0,0.9270383715629578,4,6,0.9977782666683197,0.9943634867668152,870.4060211181641,314.5093688964844,862.6470031738281,138.32728576660156,176.35285304027678,1,0,False,735.4064025878906,75.26850891113281,227.02911376953125,509.79466247558594,848.9209594726562,330.1658401489258,841.2140077821011,356.99370566519303,27.912926620465146,0.03556553706955243,1.0,558.0616600229542,0.01482229139496492,True,1.4759077327995112,7.10339269429756,170.2993018396752,0.028029636829155047,False,False,False,VALID_TARGET,,True,1
