frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
43,43,18,716.6666666666666,VALID_TARGET,,False,,,,,True,1,1,0,False,False,False,False,530.2980270385742,513.5598297119141,530.0325164794922,470.0427551269531,20.439776450881524,23.06194563889617,43.51788455669735,0.0003557318234031538,496.4781265258789,449.3653450012207,58.744834899902344,118.11858749389648,525.8505439758301,508.42463874816895,131.92026508072996,0.0357456264582907,500.9182879377431,538.959530187894,39.42076846516967,0.10565749311751282,1.0,True
44,44,19,733.3333333333333,VALID_TARGET,,False,,,,,True,1,2,1,True,False,False,False,525.6936454772949,511.57509994506836,526.3530426025391,469.9063911437988,5.013928779834449,3.68199988417737,41.673925873785606,0.042196454065468195,494.01416778564453,452.93162536621094,43.70275115966797,110.42198181152344,515.8655433654785,508.14261627197266,118.75581891473054,0.3012502140578124,506.70817120622564,539.7070468733141,32.86595113563517,0.08765186633216408,1.0,True
45,45,20,750.0,VALID_TARGET,,False,,,,,True,1,1,0,False,False,False,False,529.218994140625,511.9674644470215,528.4800567626953,470.0012626647949,3.5471161667523794,2.1291288929985686,41.97270685189433,0.00683719105814903,496.65663146972656,449.1969985961914,59.72235107421875,118.82530975341797,526.5178070068359,508.6096534729004,132.9895238574376,0.3257187280617144,512.4980544747082,540.4545635587342,34.79442138385036,0.09233683683941755,1.0,True
46,46,21,766.6666666666667,VALID_TARGET,,False,,,,,True,1,1,0,False,False,False,False,534.3740615844727,515.1149673461914,529.2958984375,469.76398849487305,6.039991295598122,0.8496450259139002,45.63440613966611,0.08379294353495834,501.63922119140625,449.0662612915039,54.11244201660156,119.60851287841797,528.695442199707,508.8705177307129,131.27967372745388,0.03912756459096122,520.715953307393,540.5904756833561,32.708224890690964,0.08595798825502646,1.0,True
47,47,22,783.3333333333334,VALID_TARGET,,False,,,,,True,1,2,0,True,False,False,False,552.5218238830566,518.5716171264648,551.4724960327148,466.9548759460449,18.47402782690799,22.353804915764844,51.62740608459775,0.13714154727769756,524.3695831298828,448.77577209472656,52.08396911621094,118.44195556640625,550.4115676879883,507.9967498779297,129.38793095684375,0.04328992708105755,528.9338521400778,540.7263878079779,39.14743240863959,0.10189135951903056,1.0,True
48,48,23,800.0,VALID_TARGET,,False,,,,,True,1,1,0,False,False,False,False,553.3158226013184,523.1377563476562,552.7738151550293,467.5188179016113,4.634658709323019,1.4182601973366245,55.62157931897266,0.09140115175882726,524.0843887329102,449.9271545410156,56.089027404785156,115.11236572265625,552.1289024353027,507.48333740234375,128.050129783149,0.030613736792301876,537.1517509727626,540.8622999325997,36.585109068145506,0.09431556374227464,1.0,True
49,49,24,816.6666666666666,VALID_TARGET,,False,,,,,True,1,1,0,False,False,False,False,551.8682975769043,517.7547225952148,550.8688430786133,466.31071853637695,5.574260585604905,2.2557532418694306,51.45371184763917,0.09537590507579742,523.8225555419922,448.2788391113281,58.555145263671875,116.29934692382812,553.1001281738281,506.4285125732422,130.20846029255796,0.04939042020972047,545.3696498054475,540.9982120572216,35.42350093111421,0.09045962817307539,1.0,True
50,50,25,833.3333333333334,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,50.0,55.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
51,51,26,850.0,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,50.0,55.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
52,52,27,866.6666666666667,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,50.0,55.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
53,53,28,883.3333333333333,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,50.0,55.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
54,54,29,900.0,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,50.0,55.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
55,55,30,916.6666666666666,TARGET_NOT_FOUND,HUMAN_TARGET_UNAVAILABLE: operator excluded this frame because TARGET_NOT_VISIBLE.,True,TARGET_NOT_VISIBLE,,50.0,55.0,False,,1,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,True
56,56,31,933.3333333333334,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,621.6536483764648,507.5784225463867,624.050651550293,463.97562408447266,,,43.66863471561296,,588.2876586914062,450.7206497192383,48.7298583984375,102.47649383544922,612.652587890625,501.9588966369629,113.4725997249496,,602.8949416342414,541.9495969295745,41.163913448045726,0.09860817325630335,1.0,True
57,57,32,950.0,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,620.4600296020508,515.0337600708008,624.3242034912109,465.20012283325195,7.550283662324889,1.254682370220468,49.98322958922603,0.1445008041642809,591.1867065429688,452.19336700439453,46.668731689453125,102.20316314697266,614.5210723876953,503.29494857788086,112.35415913418103,0.025593972061672302,607.6762645914396,542.2486036037424,39.55045680698908,0.09476868528421517,1.0,True
58,58,33,966.6666666666666,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,620.147331237793,511.9153518676758,624.3003883361816,463.0860137939453,3.1340469027005327,2.1142431723165425,49.00563375757057,0.022370933788985064,592.364631652832,450.2687072753906,52.161399841308594,102.02186584472656,618.4453315734863,501.2796401977539,114.58303863942626,0.05100483678518818,612.4575875486381,542.5476102779105,41.70010111551057,0.09992560260077664,1.0,True
59,59,34,983.3333333333333,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,643.0350189208984,513.4539642333984,644.8430786132812,464.9031791687012,22.93934557678864,20.622905077123697,48.58444000140015,0.009638438837925969,621.1086730957031,449.2686538696289,35.679595947265625,111.53018951416016,638.9484710693359,505.033748626709,117.09832082495724,0.05755876755104523,617.2389105058367,542.8466169520786,43.60181224274959,0.10446714183176978,1.0,True
