frame_index,x,y,width,height
217,70,120,620,560
230,55,110,520,575
245,80,105,540,580
260,320,90,460,600
272,560,185,410,460
290,575,305,570,395
310,505,260,430,310
326,0,280,275,240
350,0,320,220,230
381,0,320,220,230
