frame_index,source_frame_index,analysis_frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
217,217,0,7233.333333333333,17,1.0,0.11707839369773865,4,6,0.5205535441637039,0.07216991763561964,491.0688934326172,539.2787170410156,481.44972229003906,293.9786682128906,245.48857897782275,,,114.13293385570324,,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
218,218,1,7266.666666666667,17,1.0,0.5511900186538696,4,6,0.8701601028442383,0.914309024810791,444.2422790527344,388.84961700439453,502.49908447265625,218.09769821166992,180.41638824988115,157.54886845709177,78.74641107136979,114.13293385570324,0.5701438535717614,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
219,219,2,7300.0,17,1.0,0.5778124928474426,4,6,0.8169418573379517,0.9078417122364044,453.9493713378906,374.0570068359375,499.2028503417969,204.53970336914062,175.45367917661656,17.693189543676922,13.95293458722907,114.13293385570324,0.043481832154940295,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
220,220,3,7333.333333333333,17,1.0,0.5652204751968384,4,6,0.9013749063014984,0.8470907211303711,401.5895233154297,419.8116912841797,464.09678649902344,235.93606185913086,194.2096934943283,69.53448665154164,47.09742078888043,114.13293385570324,0.16433481278440376,False,False,VALID_TARGET,,True,1
221,221,4,7366.666666666666,17,1.0,0.5259885787963867,4,6,0.9230051636695862,0.9133864939212799,400.27574157714844,405.14320373535156,465.1246795654297,221.7967071533203,194.47704894694579,14.727204399544641,14.176668002485384,114.13293385570324,0.0023424917207114635,False,False,VALID_TARGET,,True,1
222,222,5,7400.0,17,1.0,0.4724133610725403,4,6,0.8925972878932953,0.7278861999511719,402.1298370361328,409.82525634765625,465.3633117675781,220.67020797729492,199.44449014852745,5.035800495990248,1.1514971652106212,114.13293385570324,0.04352329370470696,False,False,VALID_TARGET,,True,1
223,223,6,7433.333333333334,17,1.0,0.8522610664367676,4,6,0.9261062443256378,0.9664436280727386,380.96983337402344,389.2892761230469,437.2018280029297,224.33301544189453,174.2773799374251,29.48681465953943,28.398685292620222,114.13293385570324,0.22050699443966615,False,False,VALID_TARGET,,True,1
224,224,7,7466.666666666667,17,1.0,0.7398653626441956,4,6,0.8612010478973389,0.8308431804180145,341.8356704711914,400.9836120605469,434.32994079589844,225.2281265258789,198.60810844078563,40.84409625789875,3.008148929588001,114.13293385570324,0.2131788580334011,False,False,VALID_TARGET,,True,1
225,225,8,7500.0,17,1.0,0.8721023797988892,4,6,0.9526416063308716,0.8970899879932404,332.56522369384766,395.2850036621094,392.5120849609375,232.71479034423828,173.27059887353604,10.881880404153756,42.48274004537264,114.13293385570324,0.22199998467824775,False,False,VALID_TARGET,,True,1
226,226,9,7533.333333333333,17,1.0,0.8969630002975464,4,6,0.9562906324863434,0.9234591424465179,334.0775375366211,390.0648956298828,393.33091735839844,227.1758041381836,173.33152958217084,5.4347604388013675,5.5991833945670795,114.13293385570324,0.0005338573764504603,False,False,VALID_TARGET,,True,1
