frame_index,timestamp_ms,observed_landmark_count,observed_fraction,median_confidence,core_observed_count,lower_limb_observed_count,core_median_confidence,lower_limb_median_confidence,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,body_scale_px,pelvis_jump_px,shoulder_jump_px,body_scale_reference_px,body_scale_relative_change,identity_jump_flag,identity_uncertain_flag,frame_status,frame_rejection_reason,valid_target_frame,valid_segment_id
217,7233.333333333333,17,1.0,0.8701048493385315,4,6,0.9890951812267303,0.9597863852977753,474.6411895751953,391.2681884765625,512.7259979248047,211.3062629699707,183.94767532933537,,,141.381301919705,,False,False,VALID_TARGET,,True,1
218,7266.666666666667,17,1.0,0.9400826096534729,4,6,0.997247576713562,0.9960179030895233,434.50086975097656,379.8588409423828,496.99559020996094,209.39931106567383,181.5545136068923,41.73030657383505,15.845573275855855,141.381301919705,0.016927003004981674,False,False,VALID_TARGET,,True,1
219,7300.0,17,1.0,0.9399667382240295,4,6,0.9967002868652344,0.9962234795093536,434.3208923339844,378.8771057128906,495.59129333496094,205.87710189819336,183.52946182753803,0.9980961534107111,3.7918342701940735,141.381301919705,0.01396894917382615,False,False,VALID_TARGET,,True,1
220,7333.333333333333,17,1.0,0.9425692558288574,4,6,0.9954212307929993,0.9488909244537354,414.8514709472656,404.5903778076172,496.2922821044922,224.25429916381836,197.8729566731377,32.25260812633709,18.390561834666823,141.381301919705,0.10145255879554575,False,False,VALID_TARGET,,True,1
221,7366.666666666666,17,1.0,0.8858736753463745,4,6,0.9913635551929474,0.9654675722122192,397.08880615234375,399.2987365722656,477.49961853027344,225.66910934448242,191.34561975268093,18.53412332915776,18.84584548543999,141.381301919705,0.046168318100252466,False,False,VALID_TARGET,,True,1
222,7400.0,17,1.0,0.9512401223182678,4,6,0.990018755197525,0.9422007501125336,409.1698760986328,398.7771911621094,482.3048858642578,232.26269149780273,181.86755689751936,12.092322384967408,8.158794014046526,141.381301919705,0.06703901241866102,False,False,VALID_TARGET,,True,1
223,7433.333333333334,17,1.0,0.8129638433456421,4,6,0.9329214990139008,0.9610824286937714,388.9663543701172,390.6222686767578,434.9891815185547,226.70448303222656,170.25610435265295,21.787268093469073,47.641049097147224,141.381301919705,0.08212862936755899,False,False,VALID_TARGET,,True,1
224,7466.666666666667,17,1.0,0.9316723346710205,4,6,0.9680294692516327,0.970562070608139,338.2729187011719,375.19256591796875,434.19651794433594,231.57106018066406,172.70921747843624,52.98962301381356,4.930708740494343,141.381301919705,0.017351043543059826,False,False,VALID_TARGET,,True,1
225,7500.0,17,1.0,0.9656278491020203,4,6,0.9921586513519287,0.9857441186904907,329.296875,376.9758605957031,408.3599395751953,226.05633163452148,170.37509325569405,9.151475314559017,26.418573253724077,141.381301919705,0.016509426572318697,False,False,VALID_TARGET,,True,1
226,7533.333333333333,17,1.0,0.954164981842041,4,6,0.9907552301883698,0.9802707731723785,319.4781951904297,396.4276123046875,410.3939666748047,239.32312393188477,181.51445609504276,21.789380848267356,13.421812251083049,141.381301919705,0.07878950531715367,False,False,VALID_TARGET,,True,1
227,7566.666666666666,17,1.0,0.9651463627815247,4,6,0.9937475621700287,0.9770192801952362,342.5184326171875,383.51927185058594,416.88978576660156,229.08124160766602,171.412378067011,26.409804883042327,12.128141622544538,141.381301919705,0.0714527161008113,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
228,7600.0,17,1.0,0.9587576389312744,4,6,0.988627016544342,0.8409481644630432,272.9222869873047,390.11549377441406,333.2789993286133,230.80683135986328,170.35898169736979,69.90803695001203,83.62859121599367,141.381301919705,0.007450747413823248,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
229,7633.333333333334,17,1.0,0.9777986407279968,4,6,0.9960930645465851,0.9261333644390106,262.6897201538086,385.64581298828125,310.2872619628906,229.62345123291016,163.12113092420367,11.166175277680765,23.02217139236078,141.381301919705,0.05119383309453979,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
230,7666.666666666667,17,1.0,0.9817352890968323,4,6,0.9965526461601257,0.961015522480011,256.0876235961914,379.46009826660156,289.34422302246094,224.0241241455078,158.95390355814695,9.047140187601027,21.678637962106194,141.381301919705,0.029475095429687185,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,
231,7700.0,17,1.0,0.9606732130050659,4,6,0.9904164671897888,0.9646251797676086,262.3993911743164,363.8772430419922,268.68739318847656,211.54344940185547,152.46351581321298,16.812607974713668,24.13445381290052,141.381301919705,0.04590697395487325,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,
232,7733.333333333333,17,1.0,0.9828730225563049,4,6,0.9955524504184723,0.9876871705055237,252.23259735107422,370.6462860107422,252.06168365478516,211.06554412841797,159.58083340803984,12.214075460594605,16.632576798231135,141.381301919705,0.05034129335482433,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,
233,7766.666666666667,17,1.0,0.964259922504425,4,6,0.988295316696167,0.9886550903320312,243.14498901367188,381.0292510986328,246.6245880126953,213.83726501464844,167.22819086476187,13.798209641485382,6.102822764295108,141.381301919705,0.05409030298126137,False,False,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,False,
234,7800.0,17,1.0,0.9545463919639587,4,6,0.9870449006557465,0.9749848544597626,233.93002319335938,386.8713684082031,233.77765655517578,223.2303009033203,163.6411384393608,10.910817097188858,15.914545896131713,141.381301919705,0.025371476826817493,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
235,7833.333333333333,17,1.0,0.9491048455238342,4,6,0.9935479462146759,0.9953530132770538,372.2938995361328,352.4018325805664,390.158203125,187.83806991577148,165.53055707364175,142.59281600687683,160.33553991474557,141.381301919705,0.01336399232873113,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
236,7866.666666666666,17,1.0,0.9839185476303101,4,6,0.99784716963768,0.9908107221126556,376.1720428466797,381.85545349121094,400.3199005126953,205.64212799072266,177.860212284252,29.707840384065218,20.49986774921555,141.381301919705,0.08720852788307643,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
237,7900.0,17,1.0,0.9380870461463928,4,6,0.9938730895519257,0.9841468334197998,338.30713653564453,375.8473205566406,385.18128967285156,214.44341659545898,168.07262253633303,38.338607060024216,17.51114557258023,141.381301919705,0.06922831813698847,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
238,7933.333333333334,17,1.0,0.9590702652931213,4,6,0.9961976408958435,0.9813787341117859,202.03396224975586,397.013671875,211.94812774658203,221.89977264404297,175.39432254599416,137.90718784053428,173.39355707896524,141.381301919705,0.051786904705541315,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
239,7966.666666666667,17,1.0,0.9672778844833374,4,6,0.9947419166564941,0.9773282110691071,205.65813446044922,386.6573944091797,208.67086029052734,216.56660842895508,170.11746527707786,10.972105867235314,6.259642363874249,141.381301919705,0.03732358662189431,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
240,8000.0,17,1.0,0.9454806447029114,4,6,0.9923464953899384,0.9884958267211914,204.68277740478516,367.9485778808594,201.80669784545898,216.5657730102539,151.41012332114187,18.734223690251618,6.864162495906638,141.381301919705,0.1323183596552286,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
241,8033.333333333333,17,1.0,0.9906937479972839,4,6,0.9982707500457764,0.9960769712924957,341.69810485839844,374.192138671875,375.0290298461914,204.51903915405273,172.91590806090312,137.15750802844144,173.6407213195514,141.381301919705,0.15211194442087597,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
242,8066.666666666666,17,1.0,0.9795836806297302,4,6,0.998185783624649,0.9907593429088593,318.92652130126953,378.6808624267578,358.8435516357422,208.97497940063477,174.337190651907,23.2097750667031,16.78764749397711,141.381301919705,0.010052832812439932,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
243,8100.0,17,1.0,0.9820621609687805,4,6,0.9981605112552643,0.9901721775531769,343.59471893310547,375.78041076660156,366.2104034423828,197.10888290405273,180.09715171140473,24.838127832753806,13.966916324199863,141.381301919705,0.04074061407900313,False,False,VALID_TARGET,,True,2
244,8133.333333333333,17,1.0,0.9333453178405762,4,6,0.995070070028305,0.9943110644817352,335.2337341308594,368.62066650390625,348.43233489990234,207.1360206604004,162.0231276869543,11.007633931530817,20.410860165262665,141.381301919705,0.12783885690001112,False,False,VALID_TARGET,,True,2
245,8166.666666666666,17,1.0,0.9348468780517578,4,6,0.9916505515575409,0.9903462827205658,341.54974365234375,374.03025817871094,354.8869857788086,210.22980499267578,164.34254011512186,8.315988117090924,7.157794315513537,141.381301919705,0.01640536900335545,False,False,VALID_TARGET,,True,2
246,8200.0,17,1.0,0.9721554517745972,4,6,0.9925956726074219,0.9339700043201447,334.5394515991211,375.9288635253906,366.67974853515625,190.7031135559082,187.99355611002662,7.262843584569161,22.811421084496963,141.381301919705,0.1672853176039992,False,False,VALID_TARGET,,True,2
247,8233.333333333332,17,1.0,0.976484477519989,4,6,0.994957685470581,0.9870120584964752,324.9297561645508,353.6417236328125,376.2677459716797,181.20612335205078,179.9156064426416,24.270617028344144,13.49527761014733,141.381301919705,0.05713591230028947,False,False,VALID_TARGET,,True,2
248,8266.666666666668,17,1.0,0.972780704498291,4,6,0.9947401881217957,0.9879174828529358,313.7127456665039,352.0022506713867,371.0699768066406,173.74483489990234,187.25799913913136,11.3361896642805,9.093273869140559,141.381301919705,0.051933265550629416,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
249,8300.0,17,1.0,0.9564080238342285,4,6,0.9781780242919922,0.9919836819171906,286.2697868347168,377.61199951171875,281.69131088256836,237.7393798828125,139.94753361133982,37.53631874742181,109.92655598142166,141.381301919705,0.33463028622172875,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
250,8333.333333333334,17,1.0,0.9761102795600891,4,6,0.990118533372879,0.9972622990608215,351.78011322021484,355.22452545166016,372.76524353027344,179.5271110534668,176.94619837775724,69.23006469680841,108.08852598763077,141.381301919705,0.26169418631772223,True,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
251,8366.666666666668,17,1.0,0.9866987466812134,4,6,0.9965619742870331,0.997191995382309,369.58026123046875,350.59217834472656,384.8288879394531,177.73179626464844,173.53164642041676,18.393039686415676,12.19650243398009,141.381301919705,0.02415136875228177,False,True,TARGET_IDENTITY_UNCERTAIN,Temporal/body-scale discontinuity suggests target identity uncertainty.,False,
252,8400.0,17,1.0,0.966813325881958,4,6,0.9910924732685089,0.9940282702445984,398.3870391845703,344.831787109375,388.24718475341797,177.4732894897461,167.66539110199307,29.3770754718918,3.4280575930157027,141.381301919705,0.04149244092939059,False,False,VALID_TARGET,,True,3
253,8433.333333333334,17,1.0,0.9831429123878479,4,6,0.9936749637126923,0.9970028400421143,389.7319107055664,351.9488983154297,408.09667205810547,185.98126983642578,166.9805921731037,11.20555759020557,21.596015276861564,141.381301919705,0.0048436315099028,False,False,VALID_TARGET,,True,3
254,8466.666666666666,17,1.0,0.9788129329681396,4,6,0.9968846142292023,0.9951830804347992,415.66028594970703,353.38330078125,433.84354400634766,194.75021743774414,159.67180716902425,25.96802174280736,27.199188538517973,141.381301919705,0.051695555952868136,False,False,VALID_TARGET,,True,3
255,8500.0,17,1.0,0.967147171497345,4,6,0.9969561100006104,0.9942777752876282,416.9998779296875,351.4178924560547,458.6658706665039,208.12240600585938,149.23019596496732,2.378515620628764,28.195094040005177,141.381301919705,0.07385425839399225,False,False,VALID_TARGET,,True,3
256,8533.333333333334,17,1.0,0.991496205329895,4,6,0.9983450472354889,0.9994776844978333,423.0635528564453,355.42811584472656,451.5858840942383,208.77854919433594,149.39751931670668,7.269803659277347,7.110325853802043,141.381301919705,0.0011834899627277719,False,False,VALID_TARGET,,True,3
257,8566.666666666666,17,1.0,0.991754412651062,4,6,0.9980672001838684,0.9991826415061951,431.52295684814453,359.41319274902344,457.12901306152344,214.8957290649414,146.76841426029884,9.351061641756889,8.255069249697215,141.381301919705,0.0185958469805363,False,False,VALID_TARGET,,True,3
