transition_frame,transition_timestamp,movement_end_relative_ms,from_phase_id,to_phase_id,change_score,sustained_shift_score,feature_family_contributions,dominant_feature_families,boundary_source,refinement_depth,parent_phase_id,parent_phase_start_frame,parent_phase_end_frame,local_parent_phase_id,local_parent_phase_start_frame,local_parent_phase_end_frame,evidence
23,,-1360.0,phase_1,phase_2,0.6780917715978942,0.8338597874299333,"{'bilateral_limb_relationship': {'score': 0.8194346573969746, 'fraction': 0.3675176590887465}, 'hip_knee_ankle_chain': {'score': 0.5783488395939015, 'fraction': 0.25939031226656095}, 'upper_body': {'score': 0.35272322672580003, 'fraction': 0.15819689028565834}, 'movement_path': {'score': 0.2549950188085335, 'fraction': 0.1143656441008973}, 'trunk_pelvis': {'score': 0.22414528839229292, 'fraction': 0.10052949425813683}}","['bilateral_limb_relationship', 'hip_knee_ankle_chain', 'upper_body']",GLOBAL_MOVEMENT_SEGMENTATION,,,,,,,,This transition was selected from a sustained multivariate movement-change peak inside the human Movement Window.
47,,-400.0,phase_2,phase_3,0.767090120260152,1.8191194884526127,"{'trunk_pelvis': {'score': 2.0763030006625742, 'fraction': 0.4709625539066243}, 'movement_path': {'score': 0.8433430282474326, 'fraction': 0.19129336434807984}, 'upper_body': {'score': 0.8131391494945974, 'fraction': 0.18444229498547624}, 'bilateral_limb_relationship': {'score': 0.44326471243856114, 'fraction': 0.1005446126890593}, 'hip_knee_ankle_chain': {'score': 0.2325872363332638, 'fraction': 0.052757174070760374}}","['trunk_pelvis', 'movement_path', 'upper_body']",GLOBAL_MOVEMENT_SEGMENTATION,,,,,,,,This transition was selected from a sustained multivariate movement-change peak inside the human Movement Window.
